name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
The View (Epping Forest Collection),6 Rangers Road,,Chingford,Waltham Forest,www.cityoflondon.gov.uk/things-to-do/green-spaces/epping-forest/Pages/default.aspx,2.00E+11,E09000031,Chingford Green,E05013885,51.63389537,0.019126479,539834.4036,194717.532
William Morris Gallery,Lloyd Park House,531 Forest Rd,Walthamstow,Waltham Forest,http://wmgallery.org.uk/,2.00E+11,E09000031,William Morris,E05013902,51.59079662,-0.018781165,537341.034,189852.9379
Cutty Sark,King William Walk,Greenwich,NA,Greenwich,http://www.rmg.co.uk/cuttysark,2.00E+11,E09000011,Greenwich Park,E05014081,51.48229651,-0.007899992,538423.3348,177808.1263
HMS Belfast,Uxbridge,Middlesex,NA,Southwark,http://iwm.org.uk/,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,51.50607879,-0.07987744,533356.3966,180319.1307
Imperial War Museum London,Lambeth Rd,NA,NA,Southwark,http://london.iwm.org.uk/,2.00E+11,E09000028,St George's,E05011114,51.49549623,-0.106744975,531522.3553,179093.769
The Old Operating Theater Museum and Herb Garret,9A St Thomasâ€™ Street,NA,NA,Southwark,http://www.oldoperatingtheatre.com/,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,51.50449961,-0.086844633,532877.4967,180130.8567
Brunel Museum,Brunel Engine House,Railway Avenue,Rotherhithe,Southwark,www.brunel-museum.org.uk/,2.00E+11,E09000028,Rotherhithe,E05011112,51.50108215,-0.051351513,535350.7656,179815.8463
Dulwich Picture Gallery,Gallery Road,Dulwich Village,NA,Southwark,http://www.dulwichpicturegallery.org.uk/,2.00E+11,E09000028,Dulwich Village,E05011100,51.4454594,-0.084837608,533188.5015,173569.2424
Osterley Park and House,Jersey Road,Isleworth,NA,Hounslow,https://www.nationaltrust.org.uk/osterley-park-and-house?p=1356312744250,2.00E+11,E09000018,Osterley & Spring Grove,E05013626,51.48898096,-0.350182958,514640.9053,177960.4169
Gunnersbury Park Museum,Gunnersbury Park,Popes Ln,NA,Hounslow,www.hounslow.info â€º Arts & Culture â€º Historic Houses & Museums,2.00E+11,E09000018,Chiswick Gunnersbury,E05013609,51.49903389,-0.284755866,519156.9035,179182.6781
The Cartoon Museum,63 Wells Street,Fitzrovnia,W1A 3AE,Westminster,https://www.cartoonmuseum.org/,10033643787,E09000033,West End,E05013808,51.517581,-0.13865023,529245.2533,181492.829
Quentin Blake Centre for Illustration ,"Rear of, 28 Amwell St",,,Islington,https://www.qbcentre.org.uk/,No UPRN found,E09000019,Clerkenwell,E05013702,51.52836,-0.10994,531206.1586,182742.507
Photographer's Gallery,16-18 Ramillies Street,London,W1F 7LW,Westminster,https://thephotographersgallery.org.uk/,10033542105,E09000033,West End,E05013808,51.514925,-0.13904674,529225.2587,181196.7789
Whitechapel Gallery,77-82 Whitechapel High Street,London,E17QX,Tower Hamlets,https://www.whitechapelgallery.org/,6011122,E09000030,Spitalfields & Banglatown,E05009333,51.516172,-0.07038992,533985.1773,181458.8395
Camera Museum,44 Museum Street,London,WC1A 1LY,Camden,https://www.cameramuseum.uk/museum-gallery,5110142,E09000007,Bloomsbury,E05013653,51.517682,-0.125256,530174.2396,181527.7792
The Postal Museum,15-20 Phoenix Place,London,WC1X 0DA,Camden,https://www.postalmuseum.org/,5191953,E09000007,Holborn & Covent Garden,E05013662,51.52476,-0.11408144,530929.2212,182334.7735
Museum of Funeral History,"	29-31 Rosebery Avenue",London,EC1R 4SL,Islington,https://www.dignityfunerals.co.uk/funeral-directors/locations/england/london/clerkenwell/29---31-roseber,5300079668,E09000019,Clerkenwell,E05013702,51.524095,-0.11132672,531122.2196,182265.7528
Antique Breadboard Museum,17 Lifford Street,London,SW15 1NY,Wandsworth,https://antiquebreadboards.com/,1.00E+11,E09000032,Thamesfield,E05014022,51.463695,-0.21839674,523858.3635,175362.906
London Mithraeum,12 Walbrook,London,EC4N 8AA,City of London,https://www.londonmithraeum.com/,95514174,E09000001,Cordwainer,E05009300,51.512711,-0.090813816,532578.2115,181036.7768
Turner's House,40 Sandycoombe Road,Twickenham,TW1 2LR,Richmond upon Thames,https://turnershouse.org/,1.00E+11,E09000027,Twickenham Riverside,E05013789,51.45381,-0.31622272,517088.4431,174102.9731
Eel Pie Island Museum,1-3 Richmond Road,Twickenham,TW1 3AB,Richmond upon Thames,https://www.eelpiemuseum.co.uk/,1.00E+11,E09000027,Twickenham Riverside,E05013789,51.448361,-0.3256336,516448.4725,173482.0218
Vagina Museum,18 Victoria Park Square,Chalk Farm Road,E2 9PF,Tower Hamlets,https://www.vaginamuseum.co.uk/,See notes,E09000030,Bethnal Green,E05009317,51.52876,-0.05318,535141.9325,182890.3113
Swendeborg Society Museum,20-21 Bloomsbury Way,London,WC1A 2TH,Camden,https://www.swedenborg.org.uk/,5088225,E09000007,Bloomsbury,E05013653,51.518012,-0.12286419,530339.2383,181568.7286
Biggin Hill Memorial Museum,Main Road,Kent,TN16 3EJ,Bromley,https://bhmm.org.uk/,10070018882,E09000006,Biggin Hill,E05013989,51.327177,0.02357799,541085.0099,160618.8371
Stanley Picker Gallery,Kingston School of Art,"Grange Road
Kingston upon Thames",KT1 2QJ,Kingston upon Thames,https://www.stanleypickergallery.org/,128036412,E09000021,Kingston Town,E05013938,51.40501,-0.29828949,518460.4861,168704.9847
Studio Voltaire,1A Nelsons Row,London,SW4 7JR,Lambeth,https://www.studiovoltaire.org/,1.00E+11,E09000022,Clapham East,E05014100,51.462095,-0.13461766,529682.236,175329.8335
South London Gallery,65-67 Peckham Rd,London,SE5 8UH,Southwark,https://www.southlondongallery.org/,2.00E+11,E09000028,St Giles,E05011115,51.474285,-0.079775561,533456.22,176783.841
Matt's Gallery,92 Webster Road,London,SE16 4DF,Southwark,https://www.mattsgallery.org/,2.00E+11,E09000028,North Bermondsey,E05011106,51.495482,-0.062864801,534568.1987,179171.8881
Lake Gallery (Southwark Park Galleries,"1 Park Approach, Southwark Park",London,SE16 2UA,Southwark,https://southwarkparkgalleries.org/,10000811264,E09000028,Rotherhithe,E05011112,51.494147,-0.053931951,535192.1915,179039.8886
Dilston Gallery (Southwark Park Gallery),Southwark Park Rd,London,SE16 2DD,Southwark,https://southwarkparkgalleries.org/,2.00E+11,E09000028,North Bermondsey,E05011106,51.491814,-0.054290569,535174.1987,178779.7975
Nunnery Gallery,181 Bow Rd,Bow,E3 2SJ,Tower Hamlets,https://bowarts.org/nunnery,6128627,E09000030,Bow East,E05009319,51.52892,-0.017877042,537590.0933,182973.8021
Auto Italia,44 Bonner Road,London,E2 9JS,Tower Hamlets,https://autoitaliasoutheast.org/,6169839,E09000030,St Peter's,E05009331,51.532367,-0.052446491,535182.1271,183292.7758
Peer UK,97-99 Hoxton Street,London,N1 6QL,Hackney,https://www.peeruk.org/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.529808,-0.080496648,533244.175,182956.724
Autograph,Rivington Place,London,EC2A 3BA,Hackney,https://autograph.org.uk/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.526446,-0.079455921,533326.1773,182584.7603
New Contemporaries,Rich Mix,35-47 Bethnal Green Road,E1 6LA,Tower Hamlets,https://www.newcontemporaries.org.uk/,6150258,E09000030,Weavers,E05009335,51.524358,-0.073301807,533759.1701,182363.8052
SPACE Ilford,10 Oakfield Road,Ilford,IG1 1ZJ,Redbridge,https://spacestudios.org.uk/visit-space-ilford/,10094819396,E09000026,Ilford Town,E05011246,51.558472,0.074540907,543907.1609,186437.7799
Gasworks,155 Vauxhall Street,London,SE11 5RH,Lambeth,https://gasworks.org.uk/,1.00E+11,E09000022,Oval,E05014108,51.485134,-0.11545759,530947.2607,177925.8748
Institute of International Visual Arts,Stuart Hall Library,16 John Islip Street,SW1P 4JU,Westminster,https://iniva.org/library/,10033569512,E09000033,Vincent Square,E05013807,51.490553,-0.12926452,529973.2766,178503.8918
Cubitt Artists,8 Angel Mews,London,N1 9HH,Islington,https://www.cubittartists.org.uk/,10012791474,E09000019,Barnsbury,E05013698,51.532348,-0.10787081,531338.2085,183189.6861
Institute of Contemporary Arts,"The Mall, St. James's",", London ",SW1Y 5AHWestminste,Westminster,https://www.ica.art/,1.00E+11,E09000033,St James's,E05013806,51.506388,-0.13092159,529813.2614,180261.821
Serpentine South Gallery,Kensington Gardens,London,W2 3XA,Westminster,https://www.serpentinegalleries.org/,10033534401,E09000033,Lancaster Gate,E05013798,51.504789,-0.17500755,526758.3139,180006.8102
Serpentine North Gallery,West Carriage Drive,London,W2 2AR,Westminster,https://www.serpentinegalleries.org/,See notes,E09000033,Lancaster Gate,E05013798,51.50704,-0.1713,527009.3547,180263.5463
The Showroom,63 Penfold Street,London,NW8 8PQ,Westminster,https://www.theshowroom.org/,1.00E+11,E09000033,Church Street,E05013794,51.52345,-0.17280564,526859.2848,182085.7575
Camden Art Centre,Arkwright Road,London,NW3 6DG,Camden,https://camdenartcentre.org/,5090703,E09000007,Frognal,E05013657,51.55125,-0.18349077,526041.2607,185158.7291
LUX,Dartmouth Park Hill,London,N19 5JF,Camden,https://lux.org.uk/,5143559,E09000007,Highgate,E05013661,51.568341,-0.14305657,528796.2214,187129.6762
180 The Strand,Temple,London,WC2R 1EA,Westminster,https://www.180thestrand.com/,1.00E+11,E09000033,St James's,E05013806,51.512421,-0.11510992,530893.2349,180960.832
Cabinet Gallery,132 Tyers Street,Vauxhall Pleasure Gardens,SE11 5HS,Lambeth,https://www.cabinet.uk.com/,10093057125,E09000022,Vauxhall,E05014117,51.487618,-0.11950352,530659.2656,178194.876
Goldsmiths Centre for Contemporary Art,"St James’, New Cross",London,SE14 6AD,Lewisham,https://goldsmithscca.art/,1.00E+11,E09000023,Brockley,E05013716,51.474144,-0.035401153,536538.2101,176849.958
Mall Galleries,The Mall,London,SW1Y 5AS,Westminster,https://www.mallgalleries.org.uk/,1.00E+11,E09000033,St James's,E05013806,51.506709,-0.13017355,529864.2597,180298.8424
hARTslane,17 Harts Lane,New Cross Gate,SE14 5UP,Lewisham,https://www.hartslane.org/,10023231445,E09000023,New Cross Gate,E05013728,51.475565,-0.042943472,536010.2151,176993.9366
Candid Arts Centre,3 Torrens Street,London,EC1V 1NQ,Islington,https://candidarts.wordpress.com/,5300092107,E09000019,St Peter's & Canalside,E05013711,51.532151,-0.10512514,531529.2047,183172.7095
Lewisham Arthouse,140 Lewisham Way,London,SE14 6PD,Lewisham,http://www.lewishamarthouse.org.uk/,1.00E+11,E09000023,Brockley,E05013716,51.471483,-0.030634187,536877.2105,176562.957
Saatchi Gallery,"Duke of York's HQ, King's Road",London,SW3 4RY,Kensington and Chelsea,https://www.saatchigallery.com/,217110596,E09000020,Royal Hospital,E05009403,51.490723,-0.15880202,527922.3129,178470.8163
White Cube Bermondsey,144 – 152 Bermondsey Street ,London,SE1 3TQ,Southwark,https://whitecube.com/,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,51.499449,-0.082680195,533181.2198,179576.7906
White Cube Mason's Yard,"25-26 Masons Yard, St. James's",London,SW1Y 6BU,Westminster,https://whitecube.com/,10033550744,E09000033,St James's,E05013806,51.507612,-0.13718321,529375.2656,180386.854
Bankside Gallery,48 Hopton Street,London,SE1 9JH,Southwark,https://www.banksidegallery.com/,2.00E+11,E09000028,Borough & Bankside,E05011095,51.508191,-0.10096046,531887.2265,180515.8309
Jerwood Space,171 Union Street,London,SE1 0LN,Southwark,https://jerwoodarts.org/,2.00E+11,E09000028,Borough & Bankside,E05011095,51.50362,-0.099118829,532028.2292,180010.8527
Islington Museum,245 St John Street,London,EC1V 4NB,Islington,https://www.islington.gov.uk/libraries-arts-and-heritage/heritage/islington-museum,5300084848,E09000019,Clerkenwell,E05013702,51.526486,-0.10455305,531585.2096,182543.7834
The Mosaic Rooms,226 Cromwell Road,,SW5 0SW,Kensington and Chelsea,https://mosaicrooms.org/,See notes,E09000020,Abingdon,E05009388,51.49487,-0.19535,525373.7856,178868.799
Arts Council Collection,Southbank Centre,Belvedere Road,SE1 8XX,Lambeth,https://artscouncilcollection.org.uk,No UPRN found,E09000022,Waterloo & South Bank,E05014118,51.50608,-0.1163,530828.8176,180253.5822
Emery Walker's House,7 Hammersmith Terrace,London,W6 9TS ?,Hammersmith and Fulham,https://www.emerywalker.org.uk/,34007395,E09000013,Ravenscourt,E05013746,51.48983,-0.24244193,522118.4126,178228.8209
Queen's House,Romney Road,London,SE10 9NF,Greenwich,https://www.rmg.co.uk/queens-house,1.00E+11,E09000011,Greenwich Park,E05014081,51.481337,-0.004487344,538663.1984,177707.8798
Royal Observatory Greenwich,Blackheath Avenue,London,SE10 8XJ,Greenwich,https://www.rmg.co.uk/royal-observatory,10010200750,E09000011,Greenwich Park,E05014081,51.477346,-0.000888495,538925.214,177270.898
Chiswick House & Gardens,Burlington Lane,London,W4 2RP,Hounslow,https://chiswickhouseandgardens.org.uk/,2.00E+11,E09000018,Chiswick Homefields,E05013610,51.48376,-0.25866216,521008.4254,177526.934
Museum of Brands,111 – 117 Lancaster Road,Notting Hill,W11 1QT,Kensington and Chelsea,https://museumofbrands.com/,See notes,E09000020,Notting Dale,E05009399,51.5163,-0.21102,524227.7911,181225.1639
Pitzhanger Manor & Gallery,Mattock Lane,London,W5 5EQ,Ealing,https://www.pitzhanger.org.uk/,12141314,E09000009,Walpole,E05013541,51.510907,-0.3071148,517574.4521,180466.9043
Garden Museum,5 Lambeth Palace Road,London,SE1 7LB,Lambeth,https://gardenmuseum.org.uk/,1.00E+11,E09000022,Waterloo & South Bank,E05014118,51.495048,-0.12022058,530588.2664,179019.8213
Spencer House,27 St James’s Place,London,SW1A 1NR,Westminster,https://spencerhouse.co.uk/,10033571672,E09000033,St James's,E05013806,51.505151,-0.1402519,529169.2746,180107.773
Apsley House (The Wellington Collection),149 Piccadilly,Hyde Park Corner,W1J 7NT,Westminster,https://www.wellingtoncollection.co.uk/,1.00E+11,E09000033,West End,E05013808,51.50341,-0.15186432,528368.2907,179893.7607
Syon House & Gardens,Syon Park,Brentford,TW8 8JF,Hounslow,https://www.syonpark.co.uk/,No UPRN found,E09000018,Syon & Brentford Lock,E05013627,51.4768,-0.31249,517288.9104,176665.4983
Westminster Abbey Library,East Cloister,London,SW1P 3PA,Westminster,https://www.westminster-abbey.org/about-the-abbey/library-research/library-collection,1.00E+11,E09000033,St James's,E05013806,51.499003,-0.12742012,530077.2693,179446.813
Lambeth Palace Library,15 Lambeth Palace Road,London,SE1 7JT,Lambeth,https://lambethpalacelibrary.org/,10094053854,E09000022,Waterloo & South Bank,E05014118,51.497656,-0.1185717,530695.2619,179312.7728
HQS Wellington,"Temple Stairs, Victoria Embakment",London,WC2R 2PN,Westminster,https://www.thewellingtontrust.org/,1.00E+11,E09000033,St James's,E05013806,51.510633,-0.11241675,531085.235,180766.821
The Chocolate Museum,187 Ferndale Rd,London,NA,Lambeth,https://www.thechocolatemuseum.co.uk/,2.00E+11,E09000022,Brixton North,E05014096,51.463925,-0.11630269,530949.2213,175565.8968
Van Gogh House London,87 Hackford Road,London,NA,Lambeth,https://vangoghhouse.co.uk/,1.00E+11,E09000022,Stockwell East,E05014110,51.474509,-0.11517551,530997.2382,176744.8625
Stour Gallery,258 Kingsland road,London,NA,Hackney,https://www.stourgalleries.co.uk/,1.00E+11,E09000012,Haggerston,E05009375,51.537312,-0.07631648,533512.1535,183798.8185
Madame Tussauds,Marylebone Rd,London,NA,Westminster,https://www.madametussauds.com/london/,1.00E+11,E09000033,Regent's Park,E05013805,51.522965,-0.15505127,528092.266,182062.7257
The Sherlock Holmes Museum,221b Baker St,London,NA,Westminster,https://www.sherlock-holmes.co.uk/,1.00E+11,E09000033,Regent's Park,E05013805,51.523749,-0.15858017,527845.2688,182143.7421
San Mei Gallery,39a Loughborough Road,NA,NA,Lambeth,https://www.sanmeigallery.co.uk/,10094054829,E09000022,Myatt's Fields,E05014107,51.470868,-0.10854377,531468.2266,176351.8552
Vigo Gallery,7-8 Masons Yard,St. James's,NA,Westminster,https://www.vigogallery.com/,10033538227,E09000033,St James's,E05013806,51.507811,-0.13730475,529366.268,180408.7684
Thaddeus Ropac,Ely House,37 Dover Street,NA,Westminster,https://ropac.net/,1.00E+11,E09000033,West End,E05013808,51.508497,-0.14253664,529001.2713,180475.8261
The Stone  Space,6 Church Lane,Leytonstone,NA,Waltham Forest,www.stonespace.gallery,1.00E+11,E09000031,Leytonstone,E05013897,51.568201,0.010583682,539444.1144,187395.7761
Chelsea Physic Garden,66 Royal Hospital Road,Chelsea,NA,Kensington and Chelsea,https://www.chelseaphysicgarden.co.uk/,217102618,E09000020,Royal Hospital,E05009403,51.484858,-0.16268225,527669.3181,177811.8523
London Transport Museum,The Piazza ,London,NA,Westminster,https://www.ltmuseum.co.uk/,10033620581,E09000033,St James's,E05013806,51.512123,-0.12124717,530468.2441,180916.7456
Charles Dickens Museum,48-49 Doughty St,London,NA,Camden,https://dickensmuseum.com/,10092001640,E09000007,Holborn & Covent Garden,E05013662,51.523599,-0.11626288,530781.2244,182201.7727
The Mill @ Coppermill,7-11 Coppermill Lane,Walthamstow,NA,Waltham Forest,www.themille17.org,1.00E+11,E09000031,St James,E05013899,51.581733,-0.034430334,536284.1714,188815.7485
Guildhall Art Gallery,Basinghall St,London,NA,City of London,http://cityoflondon.gov.uk/guildhallartgallery,2.00E+11,E09000001,Bassishaw,E05009290,51.515566,-0.091660082,532511.2102,181352.7227
The Arab British Centre,"1 Gough Sqaure, EC4A 3DE",,,City of London,https://www.arabbritishcentre.org.uk,1.00E+11,E09000001,Castle Baynard,E05009297,51.51514,-0.10807957,531373.2264,181275.7706
Oxford House in Bethnal Green,"Derbyshire Street, London E2 6HG",,,Tower Hamlets,https://www.oxfordhouse.org.uk,6089004,E09000030,St Peter's,E05009331,51.526367,-0.061510951,534571.1484,182608.8377
Rosetta Arts,"1 HAMILTON RD, LONDON E15 3AE",,,Newham,https://rosettaarts.org,46034253,E09000025,Canning Town North,E05013906,51.524916,0.007076147,539333.0971,182575.7346
JW3,"341-351 Finchley Road, London, NW3 6ET",,,Camden,https://www.jw3.org.uk,5164899,E09000007,West Hampstead,E05013671,51.550911,-0.18481686,525950.2608,185118.7487
Usurp Art,140 Vaughan Road,,,Harrow,http://www.usurp.org.uk/exhibitions/#,1.00E+11,E09000015,West Harrow,E05013563,51.579041,-0.34938282,514470.4796,187976.801
University of the Arts London Gallery,272 High Holborn,,,Camden,http://www.arts.ac.uk/gallery.htm#,5154466,E09000007,Holborn & Covent Garden,E05013662,51.517765,-0.1163883,530789.2304,181552.8044
Brunei Gallery,SOAS,Thornhaugh Street,,Camden,http://www.soas.ac.uk/gallery/#,5086881,E09000007,Bloomsbury,E05013653,51.52235,-0.12925904,529883.2377,182039.7592
L Ron Hubbard's Fitzroy House,37 Fitzroy St,,,Camden,http://www.fitzroyhouse.org/#,5088512,E09000007,Bloomsbury,E05013653,51.522499,-0.13921366,529192.2491,182038.7229
Four Corners Gallery,121 Roman Road,,,Tower Hamlets,http://www.fourcornersfilm.co.uk/gallery#,6039056,E09000030,Bethnal Green,E05009317,51.52881,-0.04888,535440.0357,182903.8124
Chisenhale Gallery,64 Chisenhale Road,,,Tower Hamlets,http://www.chisenhale.org.uk/#,6146768,E09000030,Bow West,E05009320,51.533143,-0.039595359,536071.1105,183402.8564
Bhavan Art Gallery,4a Castletown Road,,,Hammersmith and Fulham,http://www.bhavan.net/art-gallery#,34140084,E09000013,West Kensington,E05013751,51.489763,-0.20706715,524574.3698,178280.9074
Bethlem Gallery,Bethlem Royal Hospital,Monks Orchard Road,,Bromley,http://bethlemgallery.com/#,10003615210,E09000006,Kelsey & Eden Park,E05013999,51.38084,-0.02937,537236.0218,166485.8388
The Aram Gallery,110 Drury Lane,,,Westminster,http://www.thearamgallery.org/#,10033550729,E09000033,St James's,E05013806,51.5133,-0.11885,530631.2105,181051.901
Queen's Gallery,Buckingham Palace Road,,,Westminster,http://www.royalcollection.org.uk/default.asp?action=article&ID=32#,10033569645,E09000033,St James's,E05013806,51.499715,-0.14280725,529007.2856,179498.7814
Pollock's Toy Museum,1 Scala Street,,,Camden,https://www.pollockstoymuseum.co.uk/,10091857645,E09000007,Bloomsbury,E05013653,51.520333,-0.1353092,529469.2474,181804.7553
ASC Gallery,"Taplow House,",Thurlow Street,,Southwark,http://www.ascstudios.co.uk/asc-gallery/#,10093339547,E09000028,Faraday,E05011102,51.48902,-0.08722,532896.4403,178408.8389
Ambika P3,"Uni. of Westminster,",35 Marylebone Road,,Westminster,http://www.p3exhibitions.com/#,1.00E+11,E09000033,Marylebone,E05013801,51.522023,-0.15459925,528126.2661,181958.7645
Standpoint,45 Coronet Street,Hoxton,,Hackney,http://www.standpointlondon.co.uk/#,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.52707,-0.081851649,533158.1793,182649.7867
Bow Street Police Museum,28 Bow Street,London,WC2E 7AW,Westminster,https://bowstreetpolicemuseum.org.uk/,See notes,E09000033,St James's,E05013806,51.51338,-0.12178,530427.6836,181055.5761
Southwark Heritage Centre and Walworth Library,145-147 Walworth Road,London,SE17 1RW,Southwark,https://www.southwark.gov.uk/libraries/southwark-heritage-centre-and-walworth-library,10094086689,E09000028,North Walworth,E05011107,51.491652,-0.097542326,532172.241,178682.8481
Migration Museum,Lewisham Shopping Centre,London, SE13 7HB,Lewisham,https://www.migrationmuseum.org/,See notes,E09000023,Lewisham Central,E05013727,51.46145,-0.01178,538216.9172,175482.6879
Crafts Council Gallery,44a Pentonville Road,London,N1 9BY,Islington,https://www.craftscouncil.org.uk/gallery,10093109726,E09000019,Barnsbury,E05013698,51.532143,-0.10854254,531292.2096,183165.6849
Harlesden High Street,57 High Street,Harlesden,NA,Brent,https://harlesdenhighstreet.com/,202086111,E09000005,Harlesden & Kensal Green,E05013501,51.535877,-0.24704201,521676.3552,183341.7178
Mimosa House,47 Theobalds Rd,London,NA,Camden,https://www.mimosahouse.co.uk/about,5087474,E09000007,Holborn & Covent Garden,E05013662,51.520009,-0.11840017,530643.2309,181798.7488
A.P.T Gallery,"6, Creekside",Deptford,London,Lewisham,aptstudios.org,1.00E+11,E09000023,Deptford,E05013719,51.476401,-0.021522751,537495.1998,177126.8971
QUEER BRITAIN,2 Granary Square,King's Cross,London,Camden,https://queerbritain.org.uk/,5158488,E09000007,King's Cross,E05013666,51.535701,-0.12398221,530211.2182,183533.771
Xxijra Hii,Enclave 4,50 Resolution Way,NA,Lewisham,https://xxijrahii.net/,10090784822,E09000023,Deptford,E05013719,51.478455,-0.024386142,537290.1944,177349.928
Gallery No.32,Manor Way,Bexley,,Bexley,https://www.galleryno32.co.uk/,No UPRN found,E09000004,St Mary's & St James,E05011229,51.43838545,0.1443602,549137.9828,173223.9666
Cygnet Sq (TACO!),"Cygnet Sq, SE2 9FA",,,Bexley,https://taco.org.uk/Cygnet-Square,10094789589,E09000004,Thamesmead East,E05011232,51.49767,0.12293996,547458.0597,179772.9622
Boston Manor House,"Boston Manor Road, Brentford TW8 9JX",,,Hounslow,https://www.hounslow.gov.uk/info/20174/heritage_and_arts/1855/historic_houses,10091692535,E09000018,Brentford West,E05013608,51.491907,-0.31842078,516838.4877,178335.9547
Hogarth's House,"Hogarth Lane, Great West Road, W4 2QN",,,Hounslow,https://hogarthshouse.org,1.00E+11,E09000018,Chiswick Homefields,E05013610,51.487015,-0.25502369,521252.4264,177894.9004
The Markfield Beam Engine and Museum,Markfield Road,,,Haringey,https://www.mbeam.org/,,E09000014,Seven Sisters,E05013598,51.581918,-0.061633,,
Furtherfield Gallery,The Mackenzie Pavilion,Finsbury Park,,Haringey,https://www.furtherfield.org/visit-us/,,E09000014,,,51.56974372,-0.101464232,,
